query_id,frame_len
Q101506,16
Q202606,18
Q105406,33
Q204806,60
Q100106,21
Q108006,51
Q107106,90
Q202506,54
Q101206,14
Q101406,12
Q105706,10
Q101606,45
Q201106,18
Q204006,42
Q107206,60
Q102406,10
Q205606,45
Q202706,81
Q206706,31
Q204206,54
Q103806,60
Q204106,34
Q102906,15
Q104806,51
Q106706,60
Q105106,48
Q200706,33
Q207606,33
Q205206,88
Q103406,31
Q101806,16
Q205506,26
Q202806,21
Q106806,58
Q208206,13
Q206006,65
Q205906,72
Q204306,10
Q101106,27
Q206106,66
Q104006,20
Q207306,34
Q202906,55
Q200406,66
Q205406,52
Q104906,60
Q107006,13
Q203406,60
Q205306,44
Q106106,23
Q208106,28
Q107806,28
Q204606,51
Q206306,60
Q101706,9
Q102506,42
Q105306,60
Q200506,52
Q106906,60
Q102806,26
Q207906,60
Q100006,31
Q100606,6
Q200906,48
Q104506,16
Q207206,32
Q102006,15
Q103306,25
Q106606,24
Q105806,48
Q204406,36
Q201406,34
Q206206,13
Q205806,60
Q101006,55
Q206406,60
Q204706,19
Q106306,60
Q201306,90
Q100206,14
Q103206,32
Q100706,28
Q105906,32
Q107906,42
Q106406,60
Q201706,75
Q107306,20
Q206806,35
Q105606,10
Q203106,97
Q201006,15
Q203806,92
Q104606,67
Q203706,35
Q102106,90
Q100806,90
Q107606,27
Q202006,14
Q206906,26
Q201506,27
Q202306,61
Q201606,24
Q105506,40
Q108306,20
Q202106,72
Q103606,19
Q100506,31
Q107706,8
Q101906,9
Q108206,44
Q200006,62
Q103906,60
Q201906,62
Q103506,15
Q104406,30
Q200306,61
Q106506,13
Q204906,54
Q201206,66
Q203606,12
Q108106,12
Q103106,29
Q107506,60
Q101306,24
Q104706,14
Q203506,80
Q205706,28
Q104206,60
Q103006,90
Q205006,46
Q200106,44
Q104306,23
Q206506,60
Q202406,60
Q208006,19
Q207706,66
Q200806,87
Q107406,12
Q207806,70
Q207406,69
Q205106,41
Q207106,25
Q100306,12
Q105006,49
Q200206,56
Q102306,8
Q203206,32
Q207506,32
Q102706,33
Q104106,79
Q100906,17
Q207006,10
Q203906,34
Q105206,18
Q100406,39
Q102606,57
Q106206,37
Q102206,18
Q200606,60
Q203006,60
Q202206,75
