Q100009,R122648
Q100012,R107980
Q100012,R115250
Q100012,R129456
Q100026,R126507
Q100029,R103137
Q100033,R125309
Q100037,R128995
Q100044,R114841
Q100045,R111457
Q100047,R121931
Q100047,R126952
Q100049,R124255
Q100049,R125403
Q100050,R118092
Q100050,R129148
Q100062,R127848
Q100065,R116125
Q100066,R102167
Q100080,R105703
Q100080,R106831
Q100080,R131319
Q100089,R103096
Q100089,R139957
Q100094,R129245
Q100097,R107074
Q100097,R107875
Q100097,R140275
Q100100,R108426
Q100100,R127822
Q100118,R131353
Q100130,R125548
Q100134,R112216
Q100135,R108162
Q100138,R127546
Q100142,R120730
Q100144,R137899
Q100145,R110660
Q100145,R132562
Q100146,R103908
Q100163,R131997
Q100165,R122278
Q100166,R138381
Q100168,R132836
Q100169,R105848
Q100180,R101841
Q100181,R101317
Q100183,R108378
Q100184,R112970
Q100184,R135444
Q100185,R123367
Q100186,R134115
Q100189,R100751
Q100191,R119365
Q100191,R136562
Q100194,R125003
Q100198,R117043
Q100209,R135121
Q100215,R116652
Q100231,R121214
Q100235,R131087
Q100239,R131687
Q100240,R106649
Q100240,R132405
Q100240,R133437
Q100242,R104630
Q100242,R110206
Q100242,R115239
Q100258,R102106
Q100261,R108587
Q100263,R114362
Q100267,R113957
Q100268,R110913
Q100290,R120439
Q100290,R130147
Q100309,R123513
Q100309,R124450
Q100309,R139054
Q100310,R100556
Q100310,R101046
Q100310,R104231
Q100315,R118740
Q100319,R101133
Q100320,R103881
Q100333,R112509
Q100333,R124581
Q100334,R128685
Q100339,R138995
Q100351,R139054
Q100353,R112799
Q100354,R116652
Q100354,R126339
Q100354,R139003
Q100356,R139646
Q100364,R109725
Q100373,R107655
Q100377,R137173
Q100383,R102943
Q100393,R102202
Q100393,R138546
Q100394,R122516
Q100397,R127145
Q100398,R135026
Q100401,R125961
Q100403,R113945
Q100403,R125402
Q100415,R130491
Q100417,R108869
Q100417,R110320
Q100427,R116516
Q100427,R123688
Q100427,R125182
Q100431,R128279
Q100431,R132744
Q100431,R138302
Q100439,R106786
Q100439,R128117
Q100440,R104705
Q100446,R103624
Q100446,R111188
Q100446,R113164
Q100449,R122846
Q100460,R112331
Q100460,R113470
Q100460,R133400
Q100461,R130876
Q100466,R124203
Q100468,R103840
Q100474,R125391
Q100475,R133883
Q100476,R130084
Q100478,R101270
Q100480,R127114
Q100481,R106229
Q100485,R123934
Q100486,R108213
Q100487,R129524
Q100488,R136691
Q100489,R101202
Q100489,R109791
Q100489,R126355
Q100524,R115025
Q100533,R113812
Q100534,R123937
Q100535,R108633
Q100541,R110959
Q100545,R111859
Q100549,R108703
Q100551,R125482
Q100554,R132031
Q100558,R106286
Q100559,R100117
Q100574,R135527
Q100577,R125473
Q100577,R132762
Q100583,R115148
Q100584,R124275
Q100584,R124996
Q100596,R113364
Q100602,R118907
Q100603,R113283
Q100622,R137925
Q100631,R104587
Q100633,R137839
Q100637,R105076
Q100680,R135419
Q100681,R114152
Q100701,R113135
Q100704,R103756
Q100715,R127358
Q100717,R111606
Q100717,R120730
Q100717,R121931
Q100719,R101273
Q100732,R110127
Q100733,R112293
Q100733,R124830
Q100739,R113560
Q100742,R104137
Q100744,R110419
Q100745,R114965
Q100754,R111290
Q100754,R114984
Q100754,R118262
Q100758,R105383
Q100771,R111191
Q100780,R104127
Q100782,R120534
Q100791,R124363
Q100791,R130157
Q100791,R135797
Q100794,R101881
Q100796,R119584
Q100797,R129456
Q100804,R116836
Q100804,R118918
Q100804,R129449
Q100814,R123307
Q100815,R125453
Q100818,R102016
Q100829,R112605
Q100832,R130236
Q100834,R114338
Q100850,R130613
Q100852,R133144
Q100872,R114486
Q100884,R117115
Q100885,R114922
Q100895,R124092
Q100900,R117697
Q100901,R114780
Q100902,R136141
Q100911,R107501
Q100912,R100140
Q100913,R128551
Q100928,R134302
Q100935,R105271
Q100936,R105595
Q100938,R113524
Q100938,R115103
Q100938,R139240
Q100949,R135096
Q100952,R102787
Q100952,R127018
Q100958,R126706
Q100963,R115803
Q100965,R107141
Q100969,R112612
Q100969,R119017
Q100969,R131746
Q100970,R133986
Q100971,R101308
Q100978,R119107
Q100979,R126917
Q100980,R117363
Q100988,R100766
Q100988,R136854
Q100989,R129043
Q100990,R104459
Q100991,R134304
Q101002,R120846
Q101004,R105167
Q101004,R125960
Q101013,R128188
Q101022,R122171
Q101025,R111925
Q101033,R132901
Q101037,R116108
Q101053,R104089
Q101063,R101833
Q101074,R132299
Q101078,R133353
Q101079,R123273
Q101086,R114846
Q101088,R132591
Q101089,R106186
Q101104,R112331
Q101105,R119406
Q101106,R122043
Q101110,R135267
Q101115,R107413
Q101123,R119030
Q101123,R128175
Q101123,R132090
Q101129,R109467
Q101133,R120410
Q101135,R104285
Q101135,R115359
Q101146,R106353
Q101149,R109569
Q101149,R116338
Q101160,R108566
Q101180,R107763
Q101193,R133133
Q101194,R113651
Q101207,R113373
Q101217,R102573
Q101218,R124159
Q101221,R129161
Q101227,R118973
Q101228,R111813
Q101229,R129900
Q101232,R106119
Q101232,R119406
Q101250,R101690
Q101277,R121781
Q101281,R127534
