query_id,ref_id,query_start,query_end,ref_start,ref_end
Q100009,R122648,14.194032,20.314716,1.098193,8.760109
Q100012,R107980,0.67967796,12.668383,9.640523,27.251553
Q100012,R115250,28.225353,32.50046,0.0,6.28
Q100012,R129456,14.101469,24.78646,9.253776,24.949692
Q100026,R126507,35.00849,45.06625,2.888495,12.946252
Q100029,R103137,12.778678,18.63575,2.8125963,10.403557
Q100033,R125309,2.469546,7.872052,4.794561,12.572689
Q100033,R125309,8.566628,13.969135,16.001461,23.779589
Q100037,R128995,9.936675,16.57913,9.27396,15.916416
Q100041,R108430,4.801427,22.771788,2.3396413,22.53731
Q100044,R114841,23.830376,28.064503,8.707051,14.425063
Q100044,R114841,33.77961,38.013733,28.709227,34.42724
Q100044,R114841,28.804993,33.03912,18.70814,24.42615
Q100044,R114841,38.754223,42.98835,38.71031,44.428326
Q100045,R111457,13.519596,36.95586,13.272507,33.500668
Q100047,R121931,23.784155,30.926949,25.434551,32.577347
Q100047,R126952,6.1749406,20.618114,42.471004,56.91418
Q100049,R124255,51.65636,64.07267,0.0,10.076743
Q100049,R125403,13.642565,21.705208,29.875916,36.41934
Q100050,R118092,21.60183,34.183796,29.821247,42.403214
Q100050,R129148,0.5846255,16.224766,9.52247,25.162611
Q100062,R127848,14.172611,22.170008,0.9115112,8.908909
Q100065,R116125,9.204801,15.773329,1.939981,8.508509
Q100066,R102167,11.196332,22.706728,5.845751,18.084751
Q100080,R105703,21.724167,34.520176,2.5050101,15.301018
Q100080,R106831,36.643078,44.651085,0.0,8.008008
Q100080,R131319,1.0949908,16.2412,40.60312,55.74933
Q100083,R128690,26.194735,49.63827,37.340893,57.67808
Q100083,R128690,2.751201,26.194735,15.262787,35.599976
Q100089,R103096,18.585451,29.108677,7.2955112,19.387163
Q100089,R139957,0.41435573,14.547048,1.4226884,17.661774
Q100094,R129245,5.1975274,16.575052,8.610243,16.44761
Q100097,R107074,22.4817,28.132624,17.820953,23.471874
Q100097,R107875,0.02274921,19.934753,4.067066,23.97907
Q100097,R140275,31.878935,45.525913,0.0,13.64698
Q100100,R108426,25.306856,31.013676,20.183632,26.097824
Q100100,R127822,11.171959,17.014467,25.774672,31.829481
Q100118,R131353,58.938538,73.92444,6.1822443,17.684351
Q100130,R125548,4.7239494,22.296183,7.1844506,30.430931
Q100134,R112216,14.9564495,20.602983,1.5339113,6.764377
Q100135,R108162,29.78665,37.66743,4.766416,12.647198
Q100138,R127546,31.712358,44.88531,27.300537,40.47349
Q100138,R127546,18.539406,31.712358,7.5618367,20.73479
Q100142,R120730,0.09545173,4.6820636,3.5792308,9.876543
Q100144,R137899,4.205002,27.60909,36.122604,59.52669
Q100145,R110660,1.3961068,15.544152,0.52589446,16.661926
Q100145,R132562,17.944666,28.763884,0.34911484,12.688574
Q100146,R103908,14.057452,20.593763,13.983689,20.52
Q100158,R140032,7.3395867,55.33865,1.3971164,49.39618
Q100162,R107522,21.126148,35.37954,2.0388527,16.292246
Q100162,R116372,0.056043662,19.087425,3.6505668,22.68195
Q100162,R119304,37.402603,42.827366,6.620687,12.045452
Q100163,R131997,6.5768824,31.87379,14.148605,39.445515
Q100165,R122278,1.9424042,18.499912,5.1660395,16.674559
Q100166,R138381,11.842125,20.409893,2.555561,11.292466
Q100168,R132836,3.8855221,8.414727,2.9034061,9.448436
Q100169,R105848,14.479349,27.443243,2.089682,16.485945
Q100180,R101841,11.19873,49.465637,11.371388,34.62716
Q100181,R101317,37.32797,50.72675,15.970288,28.466848
Q100183,R108378,2.213023,15.686187,10.148072,23.621237
Q100184,R112970,15.950615,36.08227,1.2088408,16.287766
Q100184,R135444,0.35522613,12.611704,4.374064,13.554356
Q100185,R123367,31.28095,78.88382,3.9004264,51.503296
Q100186,R134115,2.7743866,11.672921,0.13533679,9.033872
Q100189,R100751,13.454881,19.258362,11.907059,18.037855
Q100189,R100751,6.704788,12.508269,2.9696805,9.100476
Q100191,R119365,24.094393,37.62699,0.17698036,16.711506
Q100191,R136562,8.436949,17.980934,3.5329475,15.19407
Q100194,R125003,5.1553845,52.836475,12.337261,60.018353
Q100198,R117043,14.096371,30.3592,37.105495,59.5
Q100199,R132643,11.233763,18.033335,4.7786717,11.578245
Q100209,R135121,12.298144,19.37491,16.307158,23.383924
Q100209,R135121,4.2213783,11.298144,6.282319,13.359086
Q100215,R116652,13.913534,20.335693,4.502515,9.886488
Q100223,R128001,51.336178,59.230526,24.318531,33.1902
Q100225,R126533,20.361189,32.206184,29.706266,45.3773
Q100225,R126533,7.7603407,19.605335,3.686316,19.357347
Q100231,R121214,2.2992423,11.220109,13.320117,21.292862
Q100235,R131087,19.790743,29.81783,15.356227,25.383314
Q100238,R125436,19.304245,29.82878,17.977913,28.502447
Q100238,R129617,0.7604277,11.176891,14.199835,24.616299
Q100239,R131687,3.0529659,8.530108,1.1762446,7.508008
Q100240,R106649,0.09224215,15.579372,32.849213,49.044315
Q100240,R132405,18.075024,34.698273,15.732251,33.115402
Q100240,R133437,36.94015,47.629356,0.0,11.177845
Q100241,R121914,7.4431267,13.104256,3.3398259,10.511011
Q100242,R104630,20.595243,30.204853,0.0,9.60961
Q100242,R110206,33.171482,52.932495,10.276438,30.03745
Q100242,R115239,2.8500543,18.298836,0.0,15.448782
Q100256,R115185,0.7392937,7.3601995,0.08636453,6.859264
Q100258,R102106,6.4361105,20.482992,11.512511,25.559393
Q100261,R108587,0.6188361,22.74581,14.904156,31.598764
Q100263,R114362,0.70912284,14.317084,3.1421218,16.750084
Q100267,R113957,3.3285139,13.693762,15.536832,28.395061
Q100268,R110913,10.715126,27.853975,8.389555,27.527529
Q100269,R115019,1.949369,8.43506,2.2235181,8.709209
Q100290,R120439,38.905247,43.876884,0.0,4.971638
Q100290,R130147,12.35276,23.611391,5.640357,16.898989
Q100296,R119304,39.05709,47.089832,2.2092984,7.817757
Q100309,R123513,0.27390727,15.634308,6.425145,21.785545
Q100309,R124450,21.090445,39.541817,0.06430323,18.515675
Q100309,R139054,41.927685,49.7595,10.627002,18.458813
Q100310,R100556,25.702967,40.6728,0.0,11.745078
Q100310,R101046,5.887363,18.881056,3.3665576,13.561192
Q100310,R104231,44.84669,56.816372,0.19166848,9.58288
Q100315,R118740,14.253656,27.382557,15.2126255,25.440388
Q100319,R101133,8.210836,20.967775,18.04844,33.600765
Q100320,R103881,56.734447,71.477234,16.788744,31.531532
Q100333,R112509,18.171906,35.686993,0.8475077,18.362595
Q100333,R124581,41.905952,54.590206,6.106233,18.790487
Q100334,R128685,0.013885581,8.576157,7.0484104,15.705772
Q100339,R138995,3.5164313,28.583735,18.90882,43.97612
Q100348,R122573,9.575075,15.944518,22.194592,30.597263
Q100351,R139054,11.92947,23.436195,6.432491,17.939217
Q100353,R112799,13.567127,34.780212,34.402313,57.45796
Q100354,R116652,21.204159,32.548836,0.0,11.344678
Q100354,R126339,2.6847668,18.280691,14.479052,30.074976
Q100354,R139003,35.78339,42.66527,0.0,6.881882
Q100356,R139646,73.986694,92.007095,28.362055,46.382458
Q100356,R139646,55.966286,73.986694,8.522499,26.542902
Q100364,R109725,25.17899,53.120476,8.126595,36.06808
Q100365,R121388,5.500865,9.927117,2.360459,8.569537
Q100373,R107655,28.025238,66.6963,18.385998,57.057056
Q100377,R137173,11.7868185,42.10279,36.822266,59.52669
Q100383,R102943,1.0240936,6.6363487,1.4174806,7.815351
Q100393,R102202,35.77222,52.531708,25.179932,41.93942
Q100393,R138546,11.055371,28.277472,0.6229149,17.845016
Q100394,R122516,1.4773892,10.606594,2.0938144,12.65703
Q100394,R122516,11.470839,20.600044,15.0374155,25.60063
Q100394,R122516,21.464289,30.593493,27.981016,38.54423
Q100394,R122516,31.457737,40.58694,40.924618,51.48783
