[INFO: 2023-04-12 13:12:50,443] Epoch 0 Batch 0 Loss 0.783, AP 0.204, ACC 0.305, PN 0.234
[INFO: 2023-04-12 13:12:53,017] Epoch 0 Batch 10 Loss 0.588, AP 0.389, ACC 0.734, PN 0.266
[INFO: 2023-04-12 13:12:55,597] Epoch 0 Batch 20 Loss 0.427, AP 0.773, ACC 0.883, PN 0.242
[INFO: 2023-04-12 13:12:58,171] Epoch 0 Batch 30 Loss 0.252, AP 0.871, ACC 0.898, PN 0.242
[INFO: 2023-04-12 13:13:00,727] Epoch 0 Batch 40 Loss 0.217, AP 0.948, ACC 0.938, PN 0.289
[INFO: 2023-04-12 13:13:03,290] Epoch 0 Batch 50 Loss 0.286, AP 0.892, ACC 0.906, PN 0.242
[INFO: 2023-04-12 13:13:05,142] Epoch 1 Batch 0 Loss 0.153, AP 0.963, ACC 0.938, PN 0.258
[INFO: 2023-04-12 13:13:07,716] Epoch 1 Batch 10 Loss 0.215, AP 0.952, ACC 0.922, PN 0.289
[INFO: 2023-04-12 13:13:10,291] Epoch 1 Batch 20 Loss 0.196, AP 0.969, ACC 0.969, PN 0.258
[INFO: 2023-04-12 13:13:12,869] Epoch 1 Batch 30 Loss 0.154, AP 0.979, ACC 0.898, PN 0.312
[INFO: 2023-04-12 13:13:15,449] Epoch 1 Batch 40 Loss 0.352, AP 0.926, ACC 0.938, PN 0.250
[INFO: 2023-04-12 13:13:19,409] *** Epoch 1 Batch 46 VAL AP 0.952, VAL ACC 0.962
[INFO: 2023-04-12 13:13:22,284] Epoch 1 Batch 50 Loss 0.126, AP 0.974, ACC 0.961, PN 0.250
[INFO: 2023-04-12 13:13:24,321] Epoch 2 Batch 0 Loss 0.066, AP 0.983, ACC 0.961, PN 0.258
[INFO: 2023-04-12 13:13:26,960] Epoch 2 Batch 10 Loss 0.059, AP 0.998, ACC 0.977, PN 0.266
[INFO: 2023-04-12 13:13:29,611] Epoch 2 Batch 20 Loss 0.030, AP 0.996, ACC 0.984, PN 0.273
[INFO: 2023-04-12 13:13:32,280] Epoch 2 Batch 30 Loss 0.063, AP 0.976, ACC 0.953, PN 0.266
