video_id,duration_sec,frames_per_sec,width,height,rn
Q100001,46.047,29.97,480,360,1
Q100002,11.912,29.97,544,360,2
Q100003,52.153,29.97,640,360,3
Q100004,23.958,29.97,640,360,4
Q100005,60.027,29.97,480,352,5
Q100006,31.032,29.97,480,360,6
Q100007,25.026,29.97,640,360,7
Q100008,9.343,23.976,640,360,8
Q100009,32.833,29.97,392,294,9
Q100010,44.779,29.97,544,360,10
Q100011,60.027,29.97,480,360,11
Q100012,37.512,27.698168,480,360,12
Q100013,37.638,29.97,720,360,13
Q100014,60.027,29.97,480,360,14
Q100015,89.99,29.97,480,360,15
Q100016,28.929,29.97,480,360,16
Q100017,15.516,29.97,640,360,17
Q100018,5.973,29.97,480,360,18
Q100019,60.027,29.97,480,360,19
Q100020,24.392,29.97,400,360,20
Q100021,11.078,29.97,640,360,21
Q100022,14.917,24.0,360,640,22
Q100023,9.543,29.97,640,360,23
Q100024,51.552,29.97,640,360,24
Q100025,25.126,29.97,568,320,25
Q100026,69.1,30.0,640,360,26
Q100027,8.64,25.0,640,360,27
Q100028,45.0,25.0,480,360,28
Q100029,51.434,30.0,640,360,29
Q100030,60.027,29.97,480,360,30
Q100031,16.25,29.97,640,360,31
Q100032,27.528,29.97,480,360,32
Q100033,24.067,30.0,360,640,33
Q100034,30.031,29.97,480,360,34
Q100035,18.519,23.976,640,360,35
Q100036,60.0,24.0,640,360,36
Q100037,20.7,30.0,640,360,37
Q100038,60.019,23.976,480,360,38
Q100039,21.022,29.97,640,360,39
Q100040,19.086,29.97,640,360,40
Q100041,34.8,30.0,360,400,41
Q100042,45.279,29.97,640,360,42
Q100043,18.619,29.97,480,360,43
Q100044,53.467,30.0,480,360,44
Q100045,91.8,30.0,640,360,45
Q100046,60.027,29.97,480,360,46
Q100047,36.837,29.97,360,576,47
Q100048,19.62,29.97,480,360,48
Q100049,72.584,24.0,480,360,49
Q100050,39.306,29.97,640,360,50
Q100051,89.99,29.97,360,480,51
Q100052,35.069,29.97,640,360,52
Q100053,12.813,29.97,480,360,53
Q100054,18.586,29.97,640,360,54
Q100055,27.228,29.97,360,480,55
Q100056,32.833,29.97,480,360,56
Q100057,38.773,29.97,360,640,57
Q100058,22.49,29.97,640,360,58
Q100059,19.834,24.0,640,360,59
Q100060,13.834,24.0,640,360,60
Q100061,60.027,29.97,480,360,61
Q100062,49.0,24.0,480,360,62
Q100063,20.521,29.97,480,360,63
Q100064,60.027,29.97,640,360,64
Q100065,16.517,29.97,480,360,65
Q100066,45.846,29.97,360,800,66
Q100067,10.094,23.976,640,360,67
Q100068,31.32,25.0,480,360,68
Q100069,17.0,24.0,360,640,69
Q100070,89.99,29.97,480,360,70
Q100071,75.543,29.97,480,360,71
Q100072,22.023,29.97,480,360,72
Q100073,12.113,29.97,640,360,73
Q100074,11.846,29.97,320,568,74
Q100075,60.027,29.97,480,360,75
Q100076,32.0,24.0,640,360,76
Q100077,60.027,29.97,640,360,77
Q100078,60.019,23.976,640,360,78
Q100079,16.559,23.976,480,360,79
Q100080,55.222,29.97,1344,360,80
Q100081,37.338,29.97,640,360,81
Q100082,17.418,29.97,480,360,82
Q100083,116.117,29.97,360,384,83
Q100084,29.03,29.97,640,360,84
Q100085,17.2,25.0,448,360,85
Q100086,8.876,29.97,480,360,86
Q100087,18.042,24.0,360,640,87
Q100088,51.75,24.0,360,640,88
Q100089,32.767,29.97,360,448,89
Q100090,89.99,29.97,640,360,90
Q100091,60.027,29.97,640,360,91
Q100092,60.0,25.0,480,360,92
Q100093,15.282,29.97,480,360,93
Q100094,27.795,29.97,640,360,94
Q100095,50.217,29.97,640,360,95
Q100096,56.76,25.0,640,360,96
Q100097,50.084,29.97,506,312,97
Q100098,43.377,29.97,640,360,98
Q100099,22.084,24.0,640,360,99
Q100100,36.871,29.97,640,360,100
Q100101,60.027,29.97,640,360,101
Q100102,14.148,29.97,480,360,102
Q100103,18.386,29.97,480,360,103
Q100104,89.99,29.97,480,360,104
Q100105,17.752,29.97,480,360,105
Q100106,20.625,24.0,360,640,106
Q100107,20.221,29.97,640,360,107
Q100108,11.812,29.97,640,360,108
Q100109,60.027,29.97,480,360,109
Q100110,26.46,29.97,640,360,110
Q100111,47.281,29.97,480,360,111
Q100112,55.856,29.97,480,360,112
Q100113,50.051,29.97,608,360,113
Q100114,9.71,29.97,480,360,114
Q100115,49.684,29.97,640,360,115
Q100116,5.306,29.97,480,360,116
Q100117,12.38,29.97,640,360,117
Q100118,82.834,24.0,960,360,118
Q100119,60.027,29.97,480,360,119
Q100120,8.142,29.97,480,360,120
Q100121,11.312,29.97,480,360,121
Q100122,19.787,29.97,480,360,122
Q100123,53.054,29.97,480,360,123
Q100124,48.315,29.97,480,360,124
Q100125,5.506,29.97,480,360,125
Q100126,11.012,29.97,480,360,126
Q100127,7.508,29.97,640,360,127
Q100128,12.98,29.97,320,568,128
Q100129,27.528,23.976,480,360,129
Q100130,29.867,30.0,480,360,130
Q100131,12.079,29.97,640,360,131
Q100132,60.027,29.97,480,360,132
Q100133,60.027,29.97,360,640,133
Q100134,47.5,30.0,400,360,134
Q100135,67.935,29.97,360,512,135
Q100136,12.48,29.97,640,360,136
Q100137,15.149,29.97,640,360,137
Q100138,53.12,29.97,360,384,138
Q100139,38.472,29.97,480,360,139
Q100140,15.85,29.97,640,360,140
Q100141,32.45,23.976,640,360,141
Q100142,9.969,23.976,480,360,142
Q100143,28.829,29.97,640,360,143
Q100144,40.334,30.0,480,360,144
Q100145,33.367,29.97,976,360,145
Q100146,29.03,29.97,480,360,146
Q100147,89.99,29.97,544,360,147
Q100148,59.493,29.97,640,360,148
Q100149,63.297,29.97,640,360,149
Q100150,60.027,29.97,640,360,150
Q100151,10.077,29.97,640,360,151
Q100152,45.613,29.97,480,360,152
Q100153,29.572,23.976,480,360,153
Q100154,27.828,29.97,480,360,154
Q100155,28.462,29.97,480,360,155
Q100156,60.027,29.97,480,360,156
Q100157,21.105,23.976,640,360,157
Q100158,65.766,29.97,480,360,158
Q100159,60.027,29.97,640,360,159
Q100160,29.697,29.97,480,360,160
Q100161,5.906,29.97,640,360,161
Q100162,47.459,24.0,468,352,162
Q100163,32.734,30.0,592,360,163
Q100164,6.007,29.97,640,360,164
Q100165,51.534,30.0,1072,360,165
Q100166,25.834,30.0,360,656,166
Q100167,9.01,23.976,480,360,167
Q100168,24.8,30.0,480,360,168
Q100169,29.33,29.97,400,360,169
Q100170,29.83,29.97,568,320,170
Q100171,32.433,29.97,480,360,171
Q100172,32.533,29.97,640,360,172
Q100173,33.067,29.97,640,360,173
Q100174,56.557,29.97,640,360,174
Q100175,19.954,29.97,480,360,175
Q100176,43.711,29.97,640,360,176
Q100177,60.027,29.97,480,360,177
Q100178,60.027,29.97,480,360,178
Q100179,27.695,23.976,480,360,179
Q100180,50.6,30.0,448,360,180
Q100181,77.778,29.97,360,400,181
Q100182,13.514,29.97,640,360,182
Q100183,28.1,30.0,480,360,183
Q100184,42.309,29.97,360,400,184
Q100185,79.767,30.0,624,360,185
Q100186,27.895,29.97,368,276,186
Q100187,60.027,29.97,640,360,187
Q100188,54.088,29.97,568,320,188
Q100189,36.467,30.0,1280,360,189
Q100190,10.444,29.97,640,360,190
Q100191,44.578,29.97,640,360,191
Q100192,16.0,24.0,640,360,192
Q100193,60.027,29.97,480,360,193
Q100194,107.008,27.297277,480,360,194
Q100195,60.019,23.976,480,360,195
Q100196,17.818,29.97,480,360,196
Q100197,9.643,29.97,640,360,197
Q100198,42.834,30.0,544,360,198
Q100199,18.185,29.97,736,360,199
Q100200,60.0,24.0,480,320,200
Q100201,17.985,29.97,360,480,201
Q100202,21.75,24.0,640,360,202
Q100203,17.834,24.0,640,360,203
Q100204,38.839,29.97,480,360,204
Q100205,60.027,29.97,640,360,205
Q100206,14.4,25.0,480,360,206
Q100207,7.2,25.0,480,360,207
Q100208,17.685,29.97,480,360,208
Q100209,20.434,30.0,672,360,209
Q100210,15.516,29.97,640,360,210
Q100211,34.04,25.0,640,360,211
Q100212,54.28,25.0,640,360,212
Q100213,60.019,23.976,480,360,213
Q100214,31.198,23.976,360,640,214
Q100215,37.967,30.0,640,360,215
Q100216,10.945,29.97,480,360,216
Q100217,32.933,29.97,480,360,217
Q100218,45.546,29.97,480,360,218
Q100219,27.862,29.97,360,640,219
Q100220,47.16,25.0,480,360,220
Q100221,60.027,29.97,480,360,221
Q100222,12.013,29.97,480,360,222
Q100223,61.362,29.97,508,358,223
Q100224,9.41,29.97,640,360,224
Q100225,37.834,30.0,480,360,225
Q100226,14.482,29.97,480,360,226
Q100227,20.354,29.97,360,480,227
Q100228,11.412,29.97,640,360,228
Q100229,25.259,29.97,640,360,229
Q100230,60.027,29.97,640,360,230
Q100231,36.934,30.0,640,360,231
Q100232,14.682,29.97,640,360,232
Q100233,48.983,29.97,480,360,233
Q100234,29.697,29.97,480,360,234
Q100235,36.704,29.97,560,360,235
Q100236,46.38,29.97,320,568,236
Q100237,10.544,29.97,480,360,237
Q100238,38.039,29.97,360,400,238
Q100239,26.934,30.0,448,360,239
Q100240,51.986,29.97,960,360,240
Q100241,15.5,30.0,360,432,241
Q100242,58.759,29.97,480,360,242
Q100243,28.729,29.97,480,360,243
Q100244,60.019,23.976,640,360,244
Q100245,6.273,29.97,360,368,245
Q100246,60.027,29.97,640,360,246
Q100247,60.027,29.97,640,360,247
Q100248,12.08,25.0,640,360,248
Q100249,24.917,24.0,320,568,249
Q100250,60.027,29.97,640,360,250
Q100251,55.44,25.0,480,360,251
Q100252,14.715,29.97,480,360,252
Q100253,23.624,29.97,480,360,253
Q100254,20.921,29.97,480,360,254
Q100255,13.481,29.97,480,360,255
Q100256,35.636,29.97,640,360,256
Q100257,54.055,29.97,480,360,257
Q100258,36.567,30.0,360,544,258
Q100259,60.0,24.0,640,360,259
Q100260,15.216,29.97,480,360,260
