[INFO: 2023-04-12 13:09:43,473] Epoch 0 Batch 0 Loss 34.900, ICI Loss 4.278, Entropy loss 30.621, BL loss 0.000
[INFO: 2023-04-12 13:09:52,451] Epoch 0 Batch 10 Loss 35.078, ICI Loss 4.588, Entropy loss 30.490, BL loss 0.000
[INFO: 2023-04-12 13:10:05,046] Epoch 0 Batch 20 Loss 34.864, ICI Loss 4.523, Entropy loss 30.341, BL loss 0.000
[INFO: 2023-04-12 13:10:16,643] Epoch 0 Batch 30 Loss 34.808, ICI Loss 4.459, Entropy loss 30.350, BL loss 0.000
[INFO: 2023-04-12 13:10:29,662] Epoch 0 Batch 40 Loss 33.629, ICI Loss 4.190, Entropy loss 29.439, BL loss 0.000
[INFO: 2023-04-12 13:10:42,412] Epoch 0 Batch 50 Loss 34.017, ICI Loss 4.226, Entropy loss 29.792, BL loss 0.000
[INFO: 2023-04-12 13:10:54,915] Epoch 0 Batch 60 Loss 32.598, ICI Loss 4.118, Entropy loss 28.480, BL loss 0.000
[INFO: 2023-04-12 13:11:07,881] Epoch 0 Batch 70 Loss 31.592, ICI Loss 4.010, Entropy loss 27.582, BL loss 0.000
[INFO: 2023-04-12 13:11:19,759] Epoch 0 Batch 80 Loss 29.445, ICI Loss 3.277, Entropy loss 26.167, BL loss 0.000
[INFO: 2023-04-12 13:11:32,402] Epoch 0 Batch 90 Loss 28.210, ICI Loss 3.090, Entropy loss 25.120, BL loss 0.000
[INFO: 2023-04-12 13:11:44,555] Epoch 0 Batch 100 Loss 28.968, ICI Loss 2.593, Entropy loss 26.374, BL loss 0.000
[INFO: 2023-04-18 03:11:02,018] Epoch 0 Batch 0 Loss 36.229, ICI Loss 4.868, Entropy loss 31.361, BL loss 0.000
[INFO: 2023-04-18 03:11:07,436] Epoch 0 Batch 10 Loss 35.751, ICI Loss 4.657, Entropy loss 31.093, BL loss 0.000
[INFO: 2023-04-18 03:11:15,168] Epoch 0 Batch 20 Loss 35.834, ICI Loss 4.763, Entropy loss 31.071, BL loss 0.000
[INFO: 2023-04-18 03:11:21,855] Epoch 0 Batch 30 Loss 35.841, ICI Loss 4.683, Entropy loss 31.158, BL loss 0.000
[INFO: 2023-04-18 03:11:37,407] Epoch 0 Batch 40 Loss 34.651, ICI Loss 4.458, Entropy loss 30.193, BL loss 0.000
[INFO: 2023-04-18 03:11:53,947] Epoch 0 Batch 50 Loss 35.230, ICI Loss 4.847, Entropy loss 30.384, BL loss 0.000
[INFO: 2023-04-18 03:12:08,670] Epoch 0 Batch 60 Loss 32.863, ICI Loss 4.064, Entropy loss 28.799, BL loss 0.000
[INFO: 2023-04-18 03:12:31,941] Epoch 0 Batch 70 Loss 32.159, ICI Loss 4.062, Entropy loss 28.098, BL loss 0.000
[INFO: 2023-04-18 03:12:44,996] Epoch 0 Batch 80 Loss 30.340, ICI Loss 3.667, Entropy loss 26.673, BL loss 0.000
[INFO: 2023-04-18 03:13:06,848] Epoch 0 Batch 90 Loss 28.525, ICI Loss 3.216, Entropy loss 25.309, BL loss 0.000
[INFO: 2023-04-18 03:13:19,926] Epoch 0 Batch 100 Loss 27.319, ICI Loss 3.036, Entropy loss 24.283, BL loss 0.000
[INFO: 2023-04-18 03:13:43,056] Epoch 0 Batch 110 Loss 25.749, ICI Loss 2.662, Entropy loss 23.088, BL loss 0.000
[INFO: 2023-04-18 03:26:23,302] Epoch 0 Batch 0 Loss 37.307, ICI Loss 5.332, Entropy loss 31.975, BL loss 0.000
[INFO: 2023-04-18 03:26:35,055] Epoch 0 Batch 10 Loss 37.107, ICI Loss 5.537, Entropy loss 31.570, BL loss 0.000
[INFO: 2023-04-18 03:27:15,434] Epoch 0 Batch 20 Loss 36.683, ICI Loss 5.373, Entropy loss 31.309, BL loss 0.000
[INFO: 2023-04-18 03:27:24,683] Epoch 0 Batch 30 Loss 35.859, ICI Loss 5.120, Entropy loss 30.739, BL loss 0.000
[INFO: 2023-04-18 03:28:20,261] Epoch 0 Batch 40 Loss 34.116, ICI Loss 5.044, Entropy loss 29.072, BL loss 0.000
[INFO: 2023-04-18 03:29:09,777] Epoch 0 Batch 50 Loss 33.678, ICI Loss 4.528, Entropy loss 29.150, BL loss 0.000
[INFO: 2023-04-18 03:29:20,536] Epoch 0 Batch 60 Loss 30.396, ICI Loss 4.254, Entropy loss 26.141, BL loss 0.000
[INFO: 2023-04-18 03:30:05,969] Epoch 0 Batch 70 Loss 27.614, ICI Loss 3.633, Entropy loss 23.981, BL loss 0.000
[INFO: 2023-04-18 03:30:52,697] Epoch 0 Batch 80 Loss 24.624, ICI Loss 3.028, Entropy loss 21.597, BL loss 0.000
[INFO: 2023-04-18 03:31:03,361] Epoch 0 Batch 90 Loss 21.034, ICI Loss 2.526, Entropy loss 18.508, BL loss 0.000
[INFO: 2023-04-18 04:38:39,695] Epoch 0 Batch 0 Loss 39.064, ICI Loss 6.158, Entropy loss 32.906, BL loss 0.000
[INFO: 2023-04-18 04:38:59,463] Epoch 0 Batch 10 Loss 38.310, ICI Loss 6.072, Entropy loss 32.238, BL loss 0.000
[INFO: 2023-04-18 04:40:21,608] Epoch 0 Batch 20 Loss 37.499, ICI Loss 5.925, Entropy loss 31.574, BL loss 0.000
[INFO: 2023-04-18 04:40:37,021] Epoch 0 Batch 30 Loss 35.117, ICI Loss 5.646, Entropy loss 29.471, BL loss 0.000
[INFO: 2023-04-18 04:42:21,455] Epoch 0 Batch 40 Loss 32.552, ICI Loss 5.215, Entropy loss 27.337, BL loss 0.000
[INFO: 2023-04-18 04:43:57,075] Epoch 0 Batch 50 Loss 29.056, ICI Loss 4.258, Entropy loss 24.798, BL loss 0.000
[INFO: 2023-04-18 04:44:19,428] Epoch 0 Batch 60 Loss 25.644, ICI Loss 3.412, Entropy loss 22.232, BL loss 0.000
[INFO: 2023-04-18 04:45:53,249] Epoch 0 Batch 70 Loss 20.125, ICI Loss 2.430, Entropy loss 17.695, BL loss 0.000
