query_id,ref_id,score
Q200096,R211878,0.66102505
Q200003,R208340,0.641524
Q200071,R218453,0.61081254
Q200068,R206827,0.6076035
Q200045,R203483,0.60599416
Q200043,R215107,0.6044139
Q200046,R200216,0.58043605
Q200095,R201898,0.5770358
Q200063,R203611,0.56358194
Q200040,R204789,0.5511739
Q200044,R202405,0.541731
Q200058,R235869,0.5389955
Q200062,R233305,0.5381349
Q200041,R238765,0.53722465
Q200034,R225368,0.5345439
Q200062,R218799,0.5276527
Q200067,R223514,0.52155006
Q200033,R212143,0.5198123
Q200061,R215162,0.505845
Q200091,R200637,0.50542474
Q200042,R213600,0.50263727
Q200060,R200589,0.501967
Q200002,R226449,0.49566677
Q200058,R223691,0.4920333
Q200048,R223160,0.47450435
Q200062,R224312,0.46718723
Q200043,R209900,0.4553988
Q200093,R204695,0.45401126
Q200097,R214724,0.42724037
Q200047,R209709,0.4080711
Q200052,R216984,0.40500802
Q200083,R218715,0.3710618
Q200043,R236532,0.35941845
Q200056,R213736,0.34888
Q200051,R213276,0.34214312
Q200064,R208913,0.34143716
Q200098,R219351,0.32904792
Q200050,R220517,0.3235668
Q200004,R228714,0.3211125
Q200057,R204102,0.31482592
Q200055,R228935,0.3013243
Q200092,R209125,0.29272252
Q200079,R221354,0.28831095
Q200049,R200708,0.26470244
Q200098,R220362,0.2613803
Q200098,R234857,0.23417711
Q200093,R223876,0.20810872
Q200001,R200688,0.2052949
Q200040,R225941,0.20207357
Q200040,R203933,0.18523425
Q200049,R217130,0.09314039
Q200093,R201166,0.09168145
Q200056,R217780,0.083777875
Q200062,R222392,0.07549012
Q200048,R201908,0.07490036
Q200006,R230655,0.07422939
Q200071,R200492,0.070565015
Q200081,R239898,0.068906516
Q200048,R215567,0.06659061
Q200084,R204119,0.057327837
Q200064,R202341,0.054469287
Q200021,R214937,0.053735226
Q200030,R212075,0.01892525
Q200010,R224910,0.018008173
Q200012,R203095,0.010543168
Q200015,R208522,0.009132385
Q200092,R228905,0.00585559
Q200095,R200496,0.005595684
Q200073,R227416,0.004437834
Q200095,R222248,0.0036629438
Q200093,R225014,0.003414005
Q200056,R238403,0.0026977658
Q200093,R200450,0.0016409457
Q200061,R226035,0.00083857775
Q200063,R213428,0.0002578199
Q200071,R229246,-0.003525734
Q200072,R220410,-0.0039741993
Q200009,R232151,-0.0039750636
Q200025,R229800,-0.00471586
Q200093,R207341,-0.0062007904
Q200093,R201885,-0.00639084
Q200037,R217831,-0.006912589
Q200062,R203916,-0.007119268
Q200039,R237662,-0.0072193444
Q200056,R218304,-0.0073313713
Q200087,R235482,-0.007648021
Q200037,R203783,-0.007997155
Q200037,R231495,-0.008921564
Q200083,R227394,-0.011187643
Q200093,R212107,-0.013798088
Q200098,R236315,-0.013990343
Q200056,R240134,-0.01557973
Q200059,R210673,-0.015884161
Q200100,R232328,-0.016053021
Q200014,R235357,-0.01871723
Q200067,R220358,-0.018957019
Q200056,R206421,-0.019609839
Q200040,R238315,-0.019710273
Q200072,R204303,-0.019958407
Q200088,R222900,-0.020090371
Q200065,R212031,-0.020821452
Q200015,R220328,-0.021023154
Q200032,R211162,-0.021452516
Q200004,R238997,-0.02167508
Q200039,R205800,-0.021679968
Q200098,R201302,-0.021837294
Q200061,R204038,-0.021893442
Q200071,R219600,-0.022138953
Q200061,R215651,-0.0228841
Q200040,R206572,-0.022953063
Q200037,R226718,-0.02344364
Q200093,R224856,-0.023581177
Q200063,R229597,-0.023942977
Q200031,R232337,-0.024044782
Q200084,R202864,-0.02424568
Q200049,R203882,-0.024631947
Q200068,R231477,-0.024670035
Q200057,R215554,-0.024712622
Q200089,R229704,-0.02526325
Q200001,R219304,-0.025865883
Q200084,R206878,-0.026082784
Q200037,R220948,-0.026203513
Q200071,R209648,-0.026354581
Q200041,R235550,-0.026540667
Q200013,R216111,-0.027762592
Q200088,R235230,-0.028646767
Q200100,R230926,-0.029450595
Q200097,R215417,-0.029648751
Q200039,R237151,-0.02990681
Q200056,R227130,-0.030233115
Q200014,R220370,-0.031048357
Q200098,R217280,-0.031207353
Q200091,R229688,-0.03145358
Q200093,R236265,-0.031522244
Q200046,R201618,-0.031778455
Q200057,R203553,-0.032028466
Q200014,R233650,-0.032219738
Q200031,R228740,-0.032340497
Q200088,R212567,-0.03249517
Q200068,R214333,-0.032581598
Q200061,R207836,-0.032865316
Q200088,R214499,-0.0328902
Q200054,R206017,-0.03298226
Q200046,R203628,-0.033057004
Q200056,R236967,-0.03318423
Q200083,R235390,-0.033267677
Q200071,R237570,-0.03372249
Q200096,R215790,-0.033738405
Q200042,R203413,-0.03427869
Q200063,R232322,-0.03505671
Q200010,R211531,-0.035147637
Q200087,R217011,-0.035619646
Q200038,R235452,-0.03569293
Q200063,R225267,-0.036071002
Q200096,R206714,-0.03635785
Q200039,R237592,-0.036554396
Q200014,R202232,-0.036719114
Q200097,R235640,-0.036961555
Q200098,R206659,-0.037077636
Q200056,R235870,-0.037367076
Q200010,R205034,-0.037588656
Q200020,R214995,-0.037625104
Q200051,R225067,-0.03764394
Q200038,R228514,-0.03776598
Q200011,R231741,-0.037937492
Q200030,R200721,-0.038317174
Q200064,R221968,-0.038486063
Q200036,R216684,-0.03867814
Q200011,R239786,-0.038758367
Q200030,R223812,-0.038943112
Q200098,R232248,-0.038994998
Q200095,R208483,-0.03937483
Q200039,R223461,-0.03938353
Q200060,R216310,-0.039782137
Q200006,R237898,-0.03993544
Q200071,R202666,-0.03998965
Q200073,R217097,-0.04000935
Q200041,R239688,-0.040058315
Q200093,R200744,-0.040327936
Q200018,R236027,-0.04040712
Q200093,R212519,-0.040588886
Q200038,R218394,-0.040653408
Q200039,R216052,-0.040682882
Q200100,R212388,-0.040732503
Q200063,R203793,-0.040733278
Q200012,R207332,-0.0407646
Q200057,R213145,-0.040801555
Q200040,R231033,-0.040937662
Q200095,R226373,-0.04111117
Q200081,R237741,-0.041154742
Q200044,R202264,-0.04137832
Q200082,R236367,-0.04149556
Q200010,R206843,-0.041498035
Q200053,R214177,-0.041790813
Q200084,R211826,-0.04190111
Q200068,R228506,-0.042439252
Q200039,R223087,-0.04260698
Q200009,R221234,-0.042717457
Q200035,R202948,-0.04274091
Q200006,R208580,-0.042815447
Q200020,R223471,-0.042826384
Q200024,R201971,-0.043098867
Q200073,R226492,-0.043129265
Q200085,R235125,-0.04358217
Q200038,R206066,-0.04373479
Q200031,R232210,-0.043740124
Q200067,R230831,-0.043770164
Q200071,R232047,-0.043905973
Q200014,R214541,-0.044253528
Q200086,R225337,-0.044415414
Q200010,R237914,-0.044461817
Q200082,R218130,-0.04452145
Q200092,R226394,-0.044552654
Q200094,R209939,-0.04461047
Q200067,R229185,-0.04466176
Q200021,R203103,-0.044770986
Q200088,R232493,-0.044772148
Q200072,R208770,-0.04489866
Q200015,R232108,-0.044977546
Q200021,R230507,-0.04501733
Q200006,R229643,-0.04503572
Q200016,R230156,-0.04524982
Q200061,R225574,-0.04527265
Q200068,R206996,-0.045281023
Q200036,R235053,-0.04533276
Q200040,R204606,-0.04564944
Q200049,R200345,-0.045715243
Q200013,R232260,-0.04599455
Q200012,R211690,-0.04616919
Q200059,R222397,-0.046419114
Q200012,R226570,-0.04674959
Q200012,R204469,-0.04678583
Q200081,R222662,-0.046813667
Q200011,R227167,-0.047006458
Q200067,R213190,-0.04727
Q200072,R225777,-0.04730305
Q200035,R210222,-0.04734218
Q200031,R225018,-0.047347963
Q200072,R237602,-0.047437727
Q200047,R222974,-0.047474667
Q200091,R204031,-0.04751149
Q200063,R214372,-0.047766864
Q200069,R231963,-0.04793641
Q200067,R220735,-0.048056096
Q200043,R230906,-0.048149437
Q200095,R230101,-0.048365355
Q200020,R227708,-0.048553944
Q200056,R206452,-0.048575252
Q200036,R208855,-0.048580676
Q200097,R212227,-0.048667997
Q200020,R208192,-0.048734248
Q200011,R203843,-0.048963517
Q200095,R230525,-0.048976094
Q200087,R228186,-0.049072415
Q200030,R218637,-0.049096704
Q200013,R212771,-0.049137026
Q200023,R223977,-0.049177527
Q200088,R207856,-0.04921329
Q200030,R222827,-0.0494228
Q200092,R206351,-0.049442858
Q200049,R219188,-0.0495283
Q200012,R203457,-0.049586058
Q200039,R238025,-0.049666375
Q200036,R233701,-0.049767673
Q200009,R207602,-0.04995635
Q200037,R219986,-0.049984396
Q200093,R224629,-0.050198168
Q200012,R220212,-0.050243437
Q200063,R224816,-0.050249398
Q200012,R236906,-0.05028695
Q200065,R222292,-0.050313413
Q200100,R223297,-0.050335586
Q200086,R235314,-0.05034527
Q200040,R235788,-0.0504798
Q200066,R209077,-0.050693512
Q200011,R224961,-0.050739527
Q200048,R235262,-0.050783515
Q200011,R224993,-0.05123362
Q200014,R228389,-0.051261216
Q200059,R226269,-0.05140379
Q200087,R235956,-0.051425636
Q200098,R239227,-0.051472396
Q200095,R217858,-0.05152905
Q200020,R230612,-0.05155927
Q200067,R237263,-0.05158916
Q200090,R239008,-0.051723808
Q200095,R217940,-0.051989138
Q200031,R237897,-0.052048028
Q200044,R204353,-0.05206707
Q200081,R239852,-0.052069545
Q200038,R206254,-0.052172124
Q200093,R223923,-0.052195042
Q200086,R217079,-0.052225024
Q200008,R219520,-0.05244404
Q200086,R220690,-0.0526478
Q200004,R240199,-0.052651793
Q200064,R219362,-0.052707136
Q200071,R233318,-0.05281326
Q200044,R204507,-0.052882344
Q200039,R201501,-0.052928418
Q200096,R211083,-0.05294162
